X,Y,name,datetime
-7.2307408,57.6694592,EA49502,2023-07-23T15:57:00.000000Z
-7.2403,57.6694848,EA49503,2023-07-23T16:00:00.000000Z
-7.230656,57.6695232,EA49502,2023-07-23T16:02:00.000000Z
-7.2301976,57.6696576,EA49571,2023-07-23T16:02:00.000000Z
-7.2306344,57.6704128,EA49502,2023-07-23T16:07:00.000000Z
-7.2307184,57.6705152,EA49502,2023-07-23T16:12:00.000000Z
-7.2306376,57.6704384,EA49502,2023-07-23T16:17:00.000000Z
-7.2304896,57.6693568,EA49502,2023-07-23T16:22:00.000000Z
-7.2302744,57.6695296,EA49502,2023-07-23T16:27:00.000000Z
-7.2301432,57.6694464,EA49502,2023-07-23T16:32:00.000000Z
-7.230416,57.6692288,EA49502,2023-07-23T16:37:00.000000Z
-7.2303464,57.6693056,EA49502,2023-07-23T16:42:00.000000Z
-7.2304656,57.6693376,EA49502,2023-07-23T16:47:00.000000Z
-7.2300112,57.6695488,EA49502,2023-07-23T16:52:00.000000Z
-7.2304584,57.6692736,EA49502,2023-07-23T16:57:00.000000Z
-7.2305824,57.6691904,EA49502,2023-07-23T17:02:00.000000Z
-7.2302248,57.6693248,EA49502,2023-07-23T17:57:00.000000Z
-7.237072,57.6689856,EA49503,2023-07-23T18:00:00.000000Z
-7.2302504,57.6694272,EA49571,2023-07-23T22:02:00.000000Z
-7.2303264,57.669344,EA49503,2023-07-23T22:02:00.000000Z
-7.2303808,57.6693504,EA49502,2023-07-23T23:58:00.000000Z
-7.2300584,57.6695424,EA49502,2023-07-24T01:58:00.000000Z
-7.2305168,57.6694016,EA49571,2023-07-24T04:02:00.000000Z
-7.2303448,57.6692992,EA49502,2023-07-24T05:58:00.000000Z
-7.2307704,57.6695168,EA49503,2023-07-24T06:00:00.000000Z
-7.230812,57.6691648,EA49571,2023-07-24T06:01:00.000000Z
-7.2299288,57.6691584,EA49502,2023-07-24T07:57:00.000000Z
-7.2314831999999996,57.6777984,EA49503,2023-07-24T08:00:00.000000Z
-7.2303904,57.6695552,EA49571,2023-07-24T08:02:00.000000Z
-7.2398112,57.6732544,EA49502,2023-07-24T09:53:00.000000Z
-7.2393064,57.6737216,EA49502,2023-07-24T09:57:00.000000Z
-7.2304168,57.6692352,EA49503,2023-07-24T10:00:00.000000Z
-7.2417696,57.6707328,EA49502,2023-07-24T10:12:00.000000Z
-7.241768,57.6707904,EA49502,2023-07-24T10:17:00.000000Z
-7.2419376,57.6707968,EA49502,2023-07-24T10:22:00.000000Z
-7.241892,57.670592,EA49502,2023-07-24T10:27:00.000000Z
-7.2415496,57.6709184,EA49502,2023-07-24T10:32:00.000000Z
-7.241648,57.6708608,EA49502,2023-07-24T10:37:00.000000Z
-7.2417776,57.671008,EA49502,2023-07-24T10:42:00.000000Z
-7.2301552,57.6695488,EA49502,2023-07-24T10:47:00.000000Z
-7.2298848,57.6697152,EA49502,2023-07-24T10:52:00.000000Z
-7.2298816,57.6696896,EA49502,2023-07-24T10:53:00.000000Z
-7.229932,57.6696064,EA49502,2023-07-24T10:54:00.000000Z
-7.230068,57.669472,EA49502,2023-07-24T10:55:00.000000Z
-7.2298568,57.6698048,EA49502,2023-07-24T10:57:00.000000Z
-7.2299664,57.6695808,EA49502,2023-07-24T11:02:00.000000Z
-7.2297816,57.6696256,EA49502,2023-07-24T11:07:00.000000Z
-7.2299248,57.669504,EA49502,2023-07-24T11:12:00.000000Z
-7.2300864,57.6694848,EA49502,2023-07-24T11:17:00.000000Z
-7.230508,57.6696384,EA49502,2023-07-24T11:22:00.000000Z
-7.230208,57.6691968,EA49502,2023-07-24T11:27:00.000000Z
-7.2303144,57.6693696,EA49502,2023-07-24T11:32:00.000000Z
-7.2306256,57.6699968,EA49502,2023-07-24T11:37:00.000000Z
-7.2306288,57.6698048,EA49502,2023-07-24T11:42:00.000000Z
-7.2305296,57.6696256,EA49502,2023-07-24T11:47:00.000000Z
-7.2305232,57.6698176,EA49502,2023-07-24T11:52:00.000000Z
-7.230484,57.669856,EA49502,2023-07-24T11:57:00.000000Z
-7.2439792,57.6660224,EA49503,2023-07-24T12:00:00.000000Z
-7.2304424,57.6712256,EA49571,2023-07-24T12:02:00.000000Z
-7.2305248,57.669696,EA49502,2023-07-24T12:02:00.000000Z
-7.230696,57.6695552,EA49502,2023-07-24T12:07:00.000000Z
-7.2307496,57.6695552,EA49502,2023-07-24T12:12:00.000000Z
-7.2306544,57.669568,EA49502,2023-07-24T12:17:00.000000Z
-7.23078,57.6696192,EA49502,2023-07-24T12:18:00.000000Z
-7.230724,57.6695616,EA49502,2023-07-24T12:19:00.000000Z
-7.230692,57.669568,EA49502,2023-07-24T12:20:00.000000Z
-7.2305456,57.6694912,EA49502,2023-07-24T12:21:00.000000Z
-7.2305336,57.669504,EA49502,2023-07-24T12:22:00.000000Z
-7.2305832,57.6695168,EA49502,2023-07-24T12:23:00.000000Z
-7.230636,57.6695232,EA49502,2023-07-24T12:24:00.000000Z
-7.230468,57.6694592,EA49502,2023-07-24T12:25:00.000000Z
-7.2307528,57.6695616,EA49502,2023-07-24T12:26:00.000000Z
-7.2307776,57.6694848,EA49502,2023-07-24T12:27:00.000000Z
-7.2307184,57.669472,EA49502,2023-07-24T12:28:00.000000Z
-7.2308312,57.6695424,EA49502,2023-07-24T12:29:00.000000Z
-7.2306936,57.6694272,EA49502,2023-07-24T12:30:00.000000Z
-7.2307632,57.6694528,EA49502,2023-07-24T12:31:00.000000Z
-7.2307448,57.6694272,EA49502,2023-07-24T12:32:00.000000Z
-7.2308696,57.6694848,EA49502,2023-07-24T12:33:00.000000Z
-7.230832,57.6694848,EA49502,2023-07-24T12:34:00.000000Z
-7.2307632,57.6694208,EA49502,2023-07-24T12:35:00.000000Z
-7.2307872,57.6694208,EA49502,2023-07-24T12:36:00.000000Z
-7.23058,57.671552,EA49502,2023-07-24T12:37:00.000000Z
-7.2312872,57.6705216,EA49502,2023-07-24T12:38:00.000000Z
-7.231284,57.6705536,EA49502,2023-07-24T12:39:00.000000Z
-7.2311912,57.6705408,EA49502,2023-07-24T12:40:00.000000Z
-7.2312744,57.6705984,EA49502,2023-07-24T12:41:00.000000Z
-7.2312152,57.67056,EA49502,2023-07-24T12:42:00.000000Z
-7.2312896,57.6706048,EA49502,2023-07-24T12:43:00.000000Z
-7.2313424,57.670624,EA49502,2023-07-24T12:44:00.000000Z
-7.2311928,57.6705728,EA49502,2023-07-24T12:45:00.000000Z
-7.2311976,57.6705728,EA49502,2023-07-24T12:46:00.000000Z
-7.2314216,57.6707072,EA49502,2023-07-24T12:47:00.000000Z
-7.2313552,57.6706688,EA49502,2023-07-24T12:48:00.000000Z
-7.2312616,57.6706112,EA49502,2023-07-24T12:49:00.000000Z
-7.231308,57.6706368,EA49502,2023-07-24T12:50:00.000000Z
-7.2314552,57.670592,EA49502,2023-07-24T12:52:00.000000Z
-7.2313568,57.6705792,EA49502,2023-07-24T12:57:00.000000Z
-7.231304,57.6705984,EA49502,2023-07-24T13:02:00.000000Z
-7.231308,57.6706688,EA49502,2023-07-24T13:07:00.000000Z
-7.2310952,57.6705408,EA49502,2023-07-24T13:12:00.000000Z
-7.2312272,57.6705536,EA49502,2023-07-24T13:17:00.000000Z
-7.2303032,57.6693504,EA49502,2023-07-24T13:22:00.000000Z
-7.230332,57.669536,EA49502,2023-07-24T13:27:00.000000Z
-7.2304256,57.6694528,EA49502,2023-07-24T13:33:00.000000Z
-7.2302352,57.6693504,EA49502,2023-07-24T13:38:00.000000Z
-7.2303416,57.6694528,EA49502,2023-07-24T13:42:00.000000Z
-7.2299864,57.669376,EA49502,2023-07-24T13:47:00.000000Z
-7.2302192,57.669376,EA49502,2023-07-24T13:52:00.000000Z
-7.2301864,57.6693504,EA49502,2023-07-24T13:57:00.000000Z
-7.2456272,57.6667712,EA49503,2023-07-24T14:00:00.000000Z
-7.2300112,57.669056,EA49502,2023-07-24T14:07:00.000000Z
-7.2304208,57.6698368,EA49502,2023-07-24T14:13:00.000000Z
-7.2301984,57.6688256,EA49502,2023-07-24T14:17:00.000000Z
-7.230316,57.6692416,EA49502,2023-07-24T14:22:00.000000Z
-7.230392,57.6694208,EA49502,2023-07-24T15:57:00.000000Z
-7.2437512,57.6657536,EA49503,2023-07-24T16:00:00.000000Z
-7.2383312,57.6736384,EA49503,2023-07-24T18:00:00.000000Z
-7.2307456,57.6704576,EA49571,2023-07-24T18:02:00.000000Z
-7.230252,57.6695168,EA49502,2023-07-24T21:58:00.000000Z
-7.2305216,57.6693248,EA49503,2023-07-24T22:02:00.000000Z
-7.2304376,57.6693184,EA49502,2023-07-24T23:58:00.000000Z
-7.2308544,57.6694656,EA49502,2023-07-25T05:57:00.000000Z
-7.2303608,57.66928,EA49503,2023-07-25T06:01:00.000000Z
-7.2452368,57.669184,EA49502,2023-07-25T07:57:00.000000Z
-7.2402712,57.6695808,EA49503,2023-07-25T08:00:00.000000Z
-7.2327536,57.6708992,EA49571,2023-07-25T08:02:00.000000Z
-7.2304512,57.6693632,EA49502,2023-07-25T09:57:00.000000Z
-7.2335,57.6710912,EA49571,2023-07-25T10:01:00.000000Z
-7.2303216,57.6694784,EA49503,2023-07-25T10:01:00.000000Z
-7.2303904,57.6693696,EA49502,2023-07-25T11:58:00.000000Z
-7.251024,57.6666176,EA49502,2023-07-25T13:58:00.000000Z
-7.2309168,57.6694208,EA49571,2023-07-25T14:02:00.000000Z
-7.2307496,57.6692736,EA49502,2023-07-25T15:57:00.000000Z
-7.2304128,57.6696384,EA49571,2023-07-25T16:01:00.000000Z
-7.2400968,57.66928,EA49503,2023-07-25T18:00:00.000000Z
-7.2302944,57.669568,EA49502,2023-07-25T21:57:00.000000Z
-7.2303144,57.6693376,EA49503,2023-07-25T22:02:00.000000Z
-7.2303536,57.669344,EA49502,2023-07-25T23:58:00.000000Z
-7.2303544,57.6694272,EA49503,2023-07-26T00:00:00.000000Z
-7.2303456,57.6693632,EA49502,2023-07-26T01:58:00.000000Z
-7.2378504,57.667552,EA49502,2023-07-26T05:58:00.000000Z
-7.2299416,57.6713536,EA49571,2023-07-26T06:02:00.000000Z
-7.23036,57.6691072,EA49502,2023-07-26T07:58:00.000000Z
-7.2302768,57.6694272,EA49571,2023-07-26T08:02:00.000000Z
-7.2299544,57.6693824,EA49571,2023-07-26T10:02:00.000000Z
-7.2284176,57.6701248,EA49571,2023-07-26T12:02:00.000000Z
-7.2305848,57.670304,EA49571,2023-07-26T14:01:00.000000Z
-7.2294824,57.6694016,EA49502,2023-07-26T15:57:00.000000Z
-7.2321952,57.6686784,EA49502,2023-07-26T17:58:00.000000Z
-7.2453808,57.6668608,EA49503,2023-07-26T18:00:00.000000Z
-7.2301024,57.6695232,EA49502,2023-07-26T21:58:00.000000Z
-7.2303968,57.6693376,EA49502,2023-07-26T23:58:00.000000Z
-7.2300952,57.6694656,EA49502,2023-07-27T01:58:00.000000Z
-7.2305632,57.6695552,EA49502,2023-07-27T03:58:00.000000Z
-7.2390968000000004,57.6739584,EA49571,2023-07-27T04:02:00.000000Z
-7.230832,57.66944,EA49502,2023-07-27T07:58:00.000000Z
-7.229664,57.6695424,EA49502,2023-07-27T09:57:00.000000Z
-7.2306408,57.6694656,EA49571,2023-07-27T10:02:00.000000Z
-7.230812,57.6694592,EA49502,2023-07-27T11:58:00.000000Z
-7.2298248,57.6699968,EA49571,2023-07-27T12:02:00.000000Z
-7.2372288,57.6778176,EA49502,2023-07-27T13:57:00.000000Z
-7.230328,57.6693696,EA49502,2023-07-27T15:58:00.000000Z
-7.230404,57.6695936,EA49502,2023-07-27T17:57:00.000000Z
-7.23026,57.6693376,EA49502,2023-07-27T21:58:00.000000Z
-7.2304552,57.669260800000004,EA49502,2023-07-27T23:58:00.000000Z
-7.2303408,57.669344,EA49502,2023-07-28T01:58:00.000000Z
-7.230188,57.6695104,EA49502,2023-07-28T03:58:00.000000Z
